money_source,cycle,politician_name,district_run_for,house,sector,amount_raised
p,1990,Al Gore (D),TNS2,s,Agribusiness,49640
i,1990,Al Gore (D),TNS2,s,Agribusiness,16000
p,1990,Al Gore (D),TNS2,s,Communic/Electronics,113806
i,1990,Al Gore (D),TNS2,s,Communic/Electronics,75542
i,1990,Al Gore (D),TNS2,s,Construction,41700
p,1990,Al Gore (D),TNS2,s,Construction,16852
p,1990,Al Gore (D),TNS2,s,Defense,50500
i,1990,Al Gore (D),TNS2,s,Defense,3800
i,1990,Al Gore (D),TNS2,s,Energy/Nat Resource,20073
p,1990,Al Gore (D),TNS2,s,Energy/Nat Resource,42366
p,1990,Al Gore (D),TNS2,s,Finance/Insur/RealEst,139126
i,1990,Al Gore (D),TNS2,s,Finance/Insur/RealEst,160721
p,1990,Al Gore (D),TNS2,s,Health,54650
i,1990,Al Gore (D),TNS2,s,Health,42250
p,1990,Al Gore (D),TNS2,s,Ideology/Single-Issue,69878
i,1990,Al Gore (D),TNS2,s,Ideology/Single-Issue,93630
i,1990,Al Gore (D),TNS2,s,Labor,1500
p,1990,Al Gore (D),TNS2,s,Labor,225641
p,1990,Al Gore (D),TNS2,s,Lawyers & Lobbyists,56993
i,1990,Al Gore (D),TNS2,s,Lawyers & Lobbyists,198910
i,1990,Al Gore (D),TNS2,s,Misc Business,72698
p,1990,Al Gore (D),TNS2,s,Misc Business,42500
i,1990,Al Gore (D),TNS2,s,Non-contribution,5609
p,1990,Al Gore (D),TNS2,s,Other,1000
i,1990,Al Gore (D),TNS2,s,Other,41775
p,1990,Al Gore (D),TNS2,s,Party Cmte,42500
i,1990,Al Gore (D),TNS2,s,Party Cmte,250
p,1990,Al Gore (D),TNS2,s,Transportation,68792
i,1990,Al Gore (D),TNS2,s,Transportation,27100
i,1990,Al Gore (D),TNS2,s,Unknown,220174
p,1990,Alan K Simpson (R),WYS2,s,Agribusiness,48600
i,1990,Alan K Simpson (R),WYS2,s,Agribusiness,19950
p,1990,Alan K Simpson (R),WYS2,s,Communic/Electronics,57706
i,1990,Alan K Simpson (R),WYS2,s,Communic/Electronics,21800
i,1990,Alan K Simpson (R),WYS2,s,Construction,10750
p,1990,Alan K Simpson (R),WYS2,s,Construction,38500
i,1990,Alan K Simpson (R),WYS2,s,Defense,1000
p,1990,Alan K Simpson (R),WYS2,s,Defense,25500
i,1990,Alan K Simpson (R),WYS2,s,Energy/Nat Resource,32281
p,1990,Alan K Simpson (R),WYS2,s,Energy/Nat Resource,131750
i,1990,Alan K Simpson (R),WYS2,s,Finance/Insur/RealEst,48200
p,1990,Alan K Simpson (R),WYS2,s,Finance/Insur/RealEst,168830
i,1990,Alan K Simpson (R),WYS2,s,Health,10700
p,1990,Alan K Simpson (R),WYS2,s,Health,50250
p,1990,Alan K Simpson (R),WYS2,s,Ideology/Single-Issue,16100
i,1990,Alan K Simpson (R),WYS2,s,Ideology/Single-Issue,10050
p,1990,Alan K Simpson (R),WYS2,s,Labor,6164
i,1990,Alan K Simpson (R),WYS2,s,Lawyers & Lobbyists,27400
p,1990,Alan K Simpson (R),WYS2,s,Lawyers & Lobbyists,29000
p,1990,Alan K Simpson (R),WYS2,s,Misc Business,69227
i,1990,Alan K Simpson (R),WYS2,s,Misc Business,35418
i,1990,Alan K Simpson (R),WYS2,s,Non-contribution,22200
i,1990,Alan K Simpson (R),WYS2,s,Other,14500
i,1990,Alan K Simpson (R),WYS2,s,Party Cmte,5500
p,1990,Alan K Simpson (R),WYS2,s,Party Cmte,102621
p,1990,Alan K Simpson (R),WYS2,s,Transportation,59000
i,1990,Alan K Simpson (R),WYS2,s,Transportation,5700
i,1990,Alan K Simpson (R),WYS2,s,Unknown,73807
p,1990,Bill Bradley (D),NJS2,s,Agribusiness,25500
i,1990,Bill Bradley (D),NJS2,s,Agribusiness,44425
p,1990,Bill Bradley (D),NJS2,s,Communic/Electronics,69958
i,1990,Bill Bradley (D),NJS2,s,Communic/Electronics,441817
p,1990,Bill Bradley (D),NJS2,s,Construction,19500
i,1990,Bill Bradley (D),NJS2,s,Construction,180250
p,1990,Bill Bradley (D),NJS2,s,Defense,16000
i,1990,Bill Bradley (D),NJS2,s,Defense,11800
p,1990,Bill Bradley (D),NJS2,s,Energy/Nat Resource,86450
i,1990,Bill Bradley (D),NJS2,s,Energy/Nat Resource,68892
p,1990,Bill Bradley (D),NJS2,s,Finance/Insur/RealEst,268500
i,1990,Bill Bradley (D),NJS2,s,Finance/Insur/RealEst,1607835
i,1990,Bill Bradley (D),NJS2,s,Health,175386
p,1990,Bill Bradley (D),NJS2,s,Health,120000
i,1990,Bill Bradley (D),NJS2,s,Ideology/Single-Issue,256689
p,1990,Bill Bradley (D),NJS2,s,Ideology/Single-Issue,69963
p,1990,Bill Bradley (D),NJS2,s,Labor,193474
i,1990,Bill Bradley (D),NJS2,s,Labor,7400
i,1990,Bill Bradley (D),NJS2,s,Lawyers & Lobbyists,933941
p,1990,Bill Bradley (D),NJS2,s,Lawyers & Lobbyists,61518
p,1990,Bill Bradley (D),NJS2,s,Misc Business,68925
i,1990,Bill Bradley (D),NJS2,s,Misc Business,454201
i,1990,Bill Bradley (D),NJS2,s,Non-contribution,9814
p,1990,Bill Bradley (D),NJS2,s,Other,1500
i,1990,Bill Bradley (D),NJS2,s,Other,140240
p,1990,Bill Bradley (D),NJS2,s,Party Cmte,320552
p,1990,Bill Bradley (D),NJS2,s,Transportation,54700
i,1990,Bill Bradley (D),NJS2,s,Transportation,66085
i,1990,Bill Bradley (D),NJS2,s,Unknown,1244519
p,1990,Bill Bradley (D),NJS2,s,Unknown,1500
p,1990,Bob Smith (R),NHS2,s,Agribusiness,57600
i,1990,Bob Smith (R),NHS2,s,Agribusiness,6950
p,1990,Bob Smith (R),NHS2,s,Communic/Electronics,42761
i,1990,Bob Smith (R),NHS2,s,Communic/Electronics,8750
i,1990,Bob Smith (R),NHS2,s,Construction,43450
p,1990,Bob Smith (R),NHS2,s,Construction,47100
p,1990,Bob Smith (R),NHS2,s,Defense,54750
i,1990,Bob Smith (R),NHS2,s,Energy/Nat Resource,11700
p,1990,Bob Smith (R),NHS2,s,Energy/Nat Resource,67300
i,1990,Bob Smith (R),NHS2,s,Finance/Insur/RealEst,87225
p,1990,Bob Smith (R),NHS2,s,Finance/Insur/RealEst,254784
p,1990,Bob Smith (R),NHS2,s,Health,50000
i,1990,Bob Smith (R),NHS2,s,Health,30550
i,1990,Bob Smith (R),NHS2,s,Ideology/Single-Issue,19000
p,1990,Bob Smith (R),NHS2,s,Ideology/Single-Issue,116816
p,1990,Bob Smith (R),NHS2,s,Joint Candidate Cmtes,1000
p,1990,Bob Smith (R),NHS2,s,Labor,3050
i,1990,Bob Smith (R),NHS2,s,Lawyers & Lobbyists,20630
p,1990,Bob Smith (R),NHS2,s,Lawyers & Lobbyists,2500
p,1990,Bob Smith (R),NHS2,s,Misc Business,96388
i,1990,Bob Smith (R),NHS2,s,Misc Business,66838
i,1990,Bob Smith (R),NHS2,s,Non-contribution,47000
i,1990,Bob Smith (R),NHS2,s,Other,23214
p,1990,Bob Smith (R),NHS2,s,Party Cmte,148748
i,1990,Bob Smith (R),NHS2,s,Party Cmte,25000
p,1990,Bob Smith (R),NHS2,s,Transportation,409200
i,1990,Bob Smith (R),NHS2,s,Transportation,17900
i,1990,Bob Smith (R),NHS2,s,Unknown,87530
p,1990,Bob Smith (R),NHS2,s,Unknown,38
p,1990,Carl Levin (D),MIS1,s,Agribusiness,57225
i,1990,Carl Levin (D),MIS1,s,Agribusiness,30600
i,1990,Carl Levin (D),MIS1,s,Communic/Electronics,85587
p,1990,Carl Levin (D),MIS1,s,Communic/Electronics,70223
i,1990,Carl Levin (D),MIS1,s,Construction,86455
p,1990,Carl Levin (D),MIS1,s,Construction,3150
i,1990,Carl Levin (D),MIS1,s,Defense,5900
p,1990,Carl Levin (D),MIS1,s,Defense,73774
p,1990,Carl Levin (D),MIS1,s,Energy/Nat Resource,49945
i,1990,Carl Levin (D),MIS1,s,Energy/Nat Resource,32094
i,1990,Carl Levin (D),MIS1,s,Finance/Insur/RealEst,456200
p,1990,Carl Levin (D),MIS1,s,Finance/Insur/RealEst,112054
p,1990,Carl Levin (D),MIS1,s,Health,70902
i,1990,Carl Levin (D),MIS1,s,Health,86795
p,1990,Carl Levin (D),MIS1,s,Ideology/Single-Issue,421443
i,1990,Carl Levin (D),MIS1,s,Ideology/Single-Issue,553373
p,1990,Carl Levin (D),MIS1,s,Joint Candidate Cmtes,7760
p,1990,Carl Levin (D),MIS1,s,Labor,417591
i,1990,Carl Levin (D),MIS1,s,Labor,1590
i,1990,Carl Levin (D),MIS1,s,Lawyers & Lobbyists,433306
p,1990,Carl Levin (D),MIS1,s,Lawyers & Lobbyists,53502
p,1990,Carl Levin (D),MIS1,s,Misc Business,58086
i,1990,Carl Levin (D),MIS1,s,Misc Business,471394
i,1990,Carl Levin (D),MIS1,s,Non-contribution,22450
p,1990,Carl Levin (D),MIS1,s,Other,4250
i,1990,Carl Levin (D),MIS1,s,Other,145983
p,1990,Carl Levin (D),MIS1,s,Party Cmte,447575
p,1990,Carl Levin (D),MIS1,s,Transportation,60093
i,1990,Carl Levin (D),MIS1,s,Transportation,78550
i,1990,Carl Levin (D),MIS1,s,Unknown,445268
i,1990,Claiborne Pell (D),RIS2,s,Agribusiness,17100
p,1990,Claiborne Pell (D),RIS2,s,Agribusiness,4000
p,1990,Claiborne Pell (D),RIS2,s,Communic/Electronics,37550
i,1990,Claiborne Pell (D),RIS2,s,Communic/Electronics,44600
i,1990,Claiborne Pell (D),RIS2,s,Construction,16400
p,1990,Claiborne Pell (D),RIS2,s,Construction,12000
p,1990,Claiborne Pell (D),RIS2,s,Defense,18000
i,1990,Claiborne Pell (D),RIS2,s,Defense,9850
i,1990,Claiborne Pell (D),RIS2,s,Energy/Nat Resource,15300
p,1990,Claiborne Pell (D),RIS2,s,Energy/Nat Resource,22700
p,1990,Claiborne Pell (D),RIS2,s,Finance/Insur/RealEst,118514
i,1990,Claiborne Pell (D),RIS2,s,Finance/Insur/RealEst,185778
p,1990,Claiborne Pell (D),RIS2,s,Health,48800
i,1990,Claiborne Pell (D),RIS2,s,Health,20037
i,1990,Claiborne Pell (D),RIS2,s,Ideology/Single-Issue,164240
p,1990,Claiborne Pell (D),RIS2,s,Ideology/Single-Issue,294187
p,1990,Claiborne Pell (D),RIS2,s,Labor,315542
i,1990,Claiborne Pell (D),RIS2,s,Labor,200
p,1990,Claiborne Pell (D),RIS2,s,Lawyers & Lobbyists,16850
i,1990,Claiborne Pell (D),RIS2,s,Lawyers & Lobbyists,108410
i,1990,Claiborne Pell (D),RIS2,s,Misc Business,85435
p,1990,Claiborne Pell (D),RIS2,s,Misc Business,12400
i,1990,Claiborne Pell (D),RIS2,s,Non-contribution,4900
p,1990,Claiborne Pell (D),RIS2,s,Other,20000
i,1990,Claiborne Pell (D),RIS2,s,Other,82850
i,1990,Claiborne Pell (D),RIS2,s,Party Cmte,250
p,1990,Claiborne Pell (D),RIS2,s,Party Cmte,49834
i,1990,Claiborne Pell (D),RIS2,s,Transportation,9850
p,1990,Claiborne Pell (D),RIS2,s,Transportation,36500
i,1990,Claiborne Pell (D),RIS2,s,Unknown,182950
p,1990,Dan Coats (R),INS2,s,Agribusiness,125100
i,1990,Dan Coats (R),INS2,s,Agribusiness,28800
p,1990,Dan Coats (R),INS2,s,Communic/Electronics,124920
i,1990,Dan Coats (R),INS2,s,Communic/Electronics,41450
p,1990,Dan Coats (R),INS2,s,Construction,76125
i,1990,Dan Coats (R),INS2,s,Construction,103242
p,1990,Dan Coats (R),INS2,s,Defense,95099
i,1990,Dan Coats (R),INS2,s,Energy/Nat Resource,28550
p,1990,Dan Coats (R),INS2,s,Energy/Nat Resource,149700
p,1990,Dan Coats (R),INS2,s,Finance/Insur/RealEst,201259
i,1990,Dan Coats (R),INS2,s,Finance/Insur/RealEst,189085
p,1990,Dan Coats (R),INS2,s,Health,108020
i,1990,Dan Coats (R),INS2,s,Health,139972
p,1990,Dan Coats (R),INS2,s,Ideology/Single-Issue,86794
i,1990,Dan Coats (R),INS2,s,Ideology/Single-Issue,58394
p,1990,Dan Coats (R),INS2,s,Labor,4664
i,1990,Dan Coats (R),INS2,s,Lawyers & Lobbyists,76390
p,1990,Dan Coats (R),INS2,s,Lawyers & Lobbyists,11137
i,1990,Dan Coats (R),INS2,s,Misc Business,140200
p,1990,Dan Coats (R),INS2,s,Misc Business,162946
i,1990,Dan Coats (R),INS2,s,Non-contribution,62506
p,1990,Dan Coats (R),INS2,s,Non-contribution,221000
p,1990,Dan Coats (R),INS2,s,Other,500
i,1990,Dan Coats (R),INS2,s,Other,95554
p,1990,Dan Coats (R),INS2,s,Party Cmte,432529
i,1990,Dan Coats (R),INS2,s,Party Cmte,46700
i,1990,Dan Coats (R),INS2,s,Transportation,40100
p,1990,Dan Coats (R),INS2,s,Transportation,92140
i,1990,Dan Coats (R),INS2,s,Unknown,496154
i,1990,Daniel K Akaka (D),HIS2,s,Agribusiness,8900
p,1990,Daniel K Akaka (D),HIS2,s,Agribusiness,32250
i,1990,Daniel K Akaka (D),HIS2,s,Communic/Electronics,14650
p,1990,Daniel K Akaka (D),HIS2,s,Communic/Electronics,38000
i,1990,Daniel K Akaka (D),HIS2,s,Construction,96175
p,1990,Daniel K Akaka (D),HIS2,s,Construction,4000
i,1990,Daniel K Akaka (D),HIS2,s,Defense,500
p,1990,Daniel K Akaka (D),HIS2,s,Defense,8000
p,1990,Daniel K Akaka (D),HIS2,s,Energy/Nat Resource,23250
i,1990,Daniel K Akaka (D),HIS2,s,Energy/Nat Resource,8150
i,1990,Daniel K Akaka (D),HIS2,s,Finance/Insur/RealEst,56860
p,1990,Daniel K Akaka (D),HIS2,s,Finance/Insur/RealEst,72500
p,1990,Daniel K Akaka (D),HIS2,s,Health,37370
i,1990,Daniel K Akaka (D),HIS2,s,Health,8800
p,1990,Daniel K Akaka (D),HIS2,s,Ideology/Single-Issue,211334
i,1990,Daniel K Akaka (D),HIS2,s,Ideology/Single-Issue,59400
i,1990,Daniel K Akaka (D),HIS2,s,Labor,2300
p,1990,Daniel K Akaka (D),HIS2,s,Labor,354792
p,1990,Daniel K Akaka (D),HIS2,s,Lawyers & Lobbyists,21167
i,1990,Daniel K Akaka (D),HIS2,s,Lawyers & Lobbyists,44450
p,1990,Daniel K Akaka (D),HIS2,s,Misc Business,30420
i,1990,Daniel K Akaka (D),HIS2,s,Misc Business,39380
i,1990,Daniel K Akaka (D),HIS2,s,Non-contribution,9750
p,1990,Daniel K Akaka (D),HIS2,s,Other,10000
i,1990,Daniel K Akaka (D),HIS2,s,Other,56920
p,1990,Daniel K Akaka (D),HIS2,s,Party Cmte,118766
p,1990,Daniel K Akaka (D),HIS2,s,Transportation,35000
i,1990,Daniel K Akaka (D),HIS2,s,Transportation,14250
i,1990,Daniel K Akaka (D),HIS2,s,Unknown,191760
i,1990,David L Boren (D),OKS2,s,Agribusiness,63200
p,1990,David L Boren (D),OKS2,s,Agribusiness,2500
i,1990,David L Boren (D),OKS2,s,Communic/Electronics,34050
p,1990,David L Boren (D),OKS2,s,Communic/Electronics,0
i,1990,David L Boren (D),OKS2,s,Construction,24650
i,1990,David L Boren (D),OKS2,s,Defense,5250
p,1990,David L Boren (D),OKS2,s,Energy/Nat Resource,2500
i,1990,David L Boren (D),OKS2,s,Energy/Nat Resource,186610
p,1990,David L Boren (D),OKS2,s,Finance/Insur/RealEst,1330
i,1990,David L Boren (D),OKS2,s,Finance/Insur/RealEst,224830
p,1990,David L Boren (D),OKS2,s,Health,0
i,1990,David L Boren (D),OKS2,s,Health,49210
p,1990,David L Boren (D),OKS2,s,Ideology/Single-Issue,1480
i,1990,David L Boren (D),OKS2,s,Ideology/Single-Issue,6400
i,1990,David L Boren (D),OKS2,s,Lawyers & Lobbyists,157100
p,1990,David L Boren (D),OKS2,s,Lawyers & Lobbyists,1000
p,1990,David L Boren (D),OKS2,s,Misc Business,0
i,1990,David L Boren (D),OKS2,s,Misc Business,70375
i,1990,David L Boren (D),OKS2,s,Other,30725
p,1990,David L Boren (D),OKS2,s,Party Cmte,17500
p,1990,David L Boren (D),OKS2,s,Transportation,0
i,1990,David L Boren (D),OKS2,s,Transportation,22550
i,1990,David L Boren (D),OKS2,s,Unknown,155989
p,1990,David Pryor (D),ARS1,s,Agribusiness,90899
i,1990,David Pryor (D),ARS1,s,Agribusiness,92950
p,1990,David Pryor (D),ARS1,s,Communic/Electronics,22750
i,1990,David Pryor (D),ARS1,s,Communic/Electronics,12500
i,1990,David Pryor (D),ARS1,s,Construction,14450
p,1990,David Pryor (D),ARS1,s,Construction,8000
p,1990,David Pryor (D),ARS1,s,Defense,4000
i,1990,David Pryor (D),ARS1,s,Defense,200
i,1990,David Pryor (D),ARS1,s,Energy/Nat Resource,38000
p,1990,David Pryor (D),ARS1,s,Energy/Nat Resource,24500
i,1990,David Pryor (D),ARS1,s,Finance/Insur/RealEst,125725
p,1990,David Pryor (D),ARS1,s,Finance/Insur/RealEst,129870
i,1990,David Pryor (D),ARS1,s,Health,26500
p,1990,David Pryor (D),ARS1,s,Health,50000
i,1990,David Pryor (D),ARS1,s,Ideology/Single-Issue,2575
p,1990,David Pryor (D),ARS1,s,Ideology/Single-Issue,17063
p,1990,David Pryor (D),ARS1,s,Labor,59974
p,1990,David Pryor (D),ARS1,s,Lawyers & Lobbyists,16617
i,1990,David Pryor (D),ARS1,s,Lawyers & Lobbyists,102450
p,1990,David Pryor (D),ARS1,s,Misc Business,28900
i,1990,David Pryor (D),ARS1,s,Misc Business,35700
i,1990,David Pryor (D),ARS1,s,Non-contribution,600
i,1990,David Pryor (D),ARS1,s,Other,5750
p,1990,David Pryor (D),ARS1,s,Other,0
i,1990,David Pryor (D),ARS1,s,Transportation,12450
p,1990,David Pryor (D),ARS1,s,Transportation,25250
i,1990,David Pryor (D),ARS1,s,Unknown,101099
i,1990,Hank Brown (R),COS2,s,Agribusiness,45968
p,1990,Hank Brown (R),COS2,s,Agribusiness,158150
i,1990,Hank Brown (R),COS2,s,Communic/Electronics,64549
p,1990,Hank Brown (R),COS2,s,Communic/Electronics,111600
p,1990,Hank Brown (R),COS2,s,Construction,63750
i,1990,Hank Brown (R),COS2,s,Construction,70850
p,1990,Hank Brown (R),COS2,s,Defense,49075
i,1990,Hank Brown (R),COS2,s,Defense,4200
p,1990,Hank Brown (R),COS2,s,Energy/Nat Resource,171710
i,1990,Hank Brown (R),COS2,s,Energy/Nat Resource,79558
p,1990,Hank Brown (R),COS2,s,Finance/Insur/RealEst,483490
i,1990,Hank Brown (R),COS2,s,Finance/Insur/RealEst,281561
i,1990,Hank Brown (R),COS2,s,Health,31800
p,1990,Hank Brown (R),COS2,s,Health,82254
p,1990,Hank Brown (R),COS2,s,Ideology/Single-Issue,135665
i,1990,Hank Brown (R),COS2,s,Ideology/Single-Issue,78251
p,1990,Hank Brown (R),COS2,s,Labor,20000
p,1990,Hank Brown (R),COS2,s,Lawyers & Lobbyists,28600
i,1990,Hank Brown (R),COS2,s,Lawyers & Lobbyists,138360
p,1990,Hank Brown (R),COS2,s,Misc Business,222303
i,1990,Hank Brown (R),COS2,s,Misc Business,101145
p,1990,Hank Brown (R),COS2,s,Non-contribution,287896
i,1990,Hank Brown (R),COS2,s,Non-contribution,77805
i,1990,Hank Brown (R),COS2,s,Other,55749
p,1990,Hank Brown (R),COS2,s,Party Cmte,268031
i,1990,Hank Brown (R),COS2,s,Party Cmte,17750
p,1990,Hank Brown (R),COS2,s,Transportation,79390
i,1990,Hank Brown (R),COS2,s,Transportation,38350
p,1990,Hank Brown (R),COS2,s,Unknown,19
i,1990,Hank Brown (R),COS2,s,Unknown,419069
p,1990,Howell Heflin (D),ALS1,s,Agribusiness,211088
i,1990,Howell Heflin (D),ALS1,s,Agribusiness,135284
p,1990,Howell Heflin (D),ALS1,s,Communic/Electronics,71013
i,1990,Howell Heflin (D),ALS1,s,Communic/Electronics,67145
i,1990,Howell Heflin (D),ALS1,s,Construction,51548
p,1990,Howell Heflin (D),ALS1,s,Construction,27400
i,1990,Howell Heflin (D),ALS1,s,Defense,14986
p,1990,Howell Heflin (D),ALS1,s,Defense,55437
p,1990,Howell Heflin (D),ALS1,s,Energy/Nat Resource,157600
i,1990,Howell Heflin (D),ALS1,s,Energy/Nat Resource,66559
i,1990,Howell Heflin (D),ALS1,s,Finance/Insur/RealEst,154424
p,1990,Howell Heflin (D),ALS1,s,Finance/Insur/RealEst,214377
i,1990,Howell Heflin (D),ALS1,s,Health,53415
p,1990,Howell Heflin (D),ALS1,s,Health,64250
i,1990,Howell Heflin (D),ALS1,s,Ideology/Single-Issue,102079
p,1990,Howell Heflin (D),ALS1,s,Ideology/Single-Issue,149558
p,1990,Howell Heflin (D),ALS1,s,Labor,197760
i,1990,Howell Heflin (D),ALS1,s,Labor,200
i,1990,Howell Heflin (D),ALS1,s,Lawyers & Lobbyists,437901
p,1990,Howell Heflin (D),ALS1,s,Lawyers & Lobbyists,50812
i,1990,Howell Heflin (D),ALS1,s,Misc Business,107412
p,1990,Howell Heflin (D),ALS1,s,Misc Business,75599
i,1990,Howell Heflin (D),ALS1,s,Non-contribution,750
i,1990,Howell Heflin (D),ALS1,s,Other,50914
p,1990,Howell Heflin (D),ALS1,s,Party Cmte,152310
p,1990,Howell Heflin (D),ALS1,s,Transportation,66400
i,1990,Howell Heflin (D),ALS1,s,Transportation,42350
p,1990,Howell Heflin (D),ALS1,s,Unknown,1019
i,1990,Howell Heflin (D),ALS1,s,Unknown,207549
p,1990,J Bennett Johnston (D),LAS1,s,Agribusiness,115189
i,1990,J Bennett Johnston (D),LAS1,s,Agribusiness,47619
i,1990,J Bennett Johnston (D),LAS1,s,Communic/Electronics,50150
p,1990,J Bennett Johnston (D),LAS1,s,Communic/Electronics,74764
i,1990,J Bennett Johnston (D),LAS1,s,Construction,75950
p,1990,J Bennett Johnston (D),LAS1,s,Construction,52100
i,1990,J Bennett Johnston (D),LAS1,s,Defense,4800
p,1990,J Bennett Johnston (D),LAS1,s,Defense,107500
i,1990,J Bennett Johnston (D),LAS1,s,Energy/Nat Resource,174150
p,1990,J Bennett Johnston (D),LAS1,s,Energy/Nat Resource,404700
i,1990,J Bennett Johnston (D),LAS1,s,Finance/Insur/RealEst,181959
p,1990,J Bennett Johnston (D),LAS1,s,Finance/Insur/RealEst,290927
p,1990,J Bennett Johnston (D),LAS1,s,Health,40500
i,1990,J Bennett Johnston (D),LAS1,s,Health,63950
i,1990,J Bennett Johnston (D),LAS1,s,Ideology/Single-Issue,85527
p,1990,J Bennett Johnston (D),LAS1,s,Ideology/Single-Issue,166759
p,1990,J Bennett Johnston (D),LAS1,s,Labor,158488
i,1990,J Bennett Johnston (D),LAS1,s,Lawyers & Lobbyists,229950
p,1990,J Bennett Johnston (D),LAS1,s,Lawyers & Lobbyists,62250
p,1990,J Bennett Johnston (D),LAS1,s,Misc Business,74217
i,1990,J Bennett Johnston (D),LAS1,s,Misc Business,121650
i,1990,J Bennett Johnston (D),LAS1,s,Non-contribution,1000
p,1990,J Bennett Johnston (D),LAS1,s,Other,1500
i,1990,J Bennett Johnston (D),LAS1,s,Other,54235
p,1990,J Bennett Johnston (D),LAS1,s,Party Cmte,148000
p,1990,J Bennett Johnston (D),LAS1,s,Transportation,197750
i,1990,J Bennett Johnston (D),LAS1,s,Transportation,44150
i,1990,J Bennett Johnston (D),LAS1,s,Unknown,217845
i,1990,Jay Rockefeller (D),WVS2,s,Agribusiness,28950
p,1990,Jay Rockefeller (D),WVS2,s,Agribusiness,59111
i,1990,Jay Rockefeller (D),WVS2,s,Communic/Electronics,84750
p,1990,Jay Rockefeller (D),WVS2,s,Communic/Electronics,81657
p,1990,Jay Rockefeller (D),WVS2,s,Construction,19800
i,1990,Jay Rockefeller (D),WVS2,s,Construction,40800
p,1990,Jay Rockefeller (D),WVS2,s,Defense,28750
p,1990,Jay Rockefeller (D),WVS2,s,Energy/Nat Resource,119724
i,1990,Jay Rockefeller (D),WVS2,s,Energy/Nat Resource,77400
p,1990,Jay Rockefeller (D),WVS2,s,Finance/Insur/RealEst,284990
i,1990,Jay Rockefeller (D),WVS2,s,Finance/Insur/RealEst,300348
i,1990,Jay Rockefeller (D),WVS2,s,Health,206805
p,1990,Jay Rockefeller (D),WVS2,s,Health,214172
i,1990,Jay Rockefeller (D),WVS2,s,Ideology/Single-Issue,125250
p,1990,Jay Rockefeller (D),WVS2,s,Ideology/Single-Issue,112327
p,1990,Jay Rockefeller (D),WVS2,s,Labor,230161
i,1990,Jay Rockefeller (D),WVS2,s,Labor,1000
p,1990,Jay Rockefeller (D),WVS2,s,Lawyers & Lobbyists,49750
i,1990,Jay Rockefeller (D),WVS2,s,Lawyers & Lobbyists,207647
p,1990,Jay Rockefeller (D),WVS2,s,Misc Business,133400
i,1990,Jay Rockefeller (D),WVS2,s,Misc Business,172589
i,1990,Jay Rockefeller (D),WVS2,s,Non-contribution,8300
p,1990,Jay Rockefeller (D),WVS2,s,Other,2000
i,1990,Jay Rockefeller (D),WVS2,s,Other,91482
p,1990,Jay Rockefeller (D),WVS2,s,Party Cmte,91112
p,1990,Jay Rockefeller (D),WVS2,s,Transportation,63150
i,1990,Jay Rockefeller (D),WVS2,s,Transportation,43250
i,1990,Jay Rockefeller (D),WVS2,s,Unknown,272474
p,1990,Jesse Helms (R),NCS1,s,Agribusiness,159740
i,1990,Jesse Helms (R),NCS1,s,Agribusiness,104358
p,1990,Jesse Helms (R),NCS1,s,Communic/Electronics,35782
i,1990,Jesse Helms (R),NCS1,s,Communic/Electronics,36315
p,1990,Jesse Helms (R),NCS1,s,Construction,41500
i,1990,Jesse Helms (R),NCS1,s,Construction,76685
i,1990,Jesse Helms (R),NCS1,s,Defense,4350
p,1990,Jesse Helms (R),NCS1,s,Defense,24200
p,1990,Jesse Helms (R),NCS1,s,Energy/Nat Resource,59068
i,1990,Jesse Helms (R),NCS1,s,Energy/Nat Resource,37964
i,1990,Jesse Helms (R),NCS1,s,Finance/Insur/RealEst,174221
p,1990,Jesse Helms (R),NCS1,s,Finance/Insur/RealEst,112000
p,1990,Jesse Helms (R),NCS1,s,Health,38000
i,1990,Jesse Helms (R),NCS1,s,Health,96356
i,1990,Jesse Helms (R),NCS1,s,Ideology/Single-Issue,278084
p,1990,Jesse Helms (R),NCS1,s,Ideology/Single-Issue,808706
i,1990,Jesse Helms (R),NCS1,s,Joint Candidate Cmtes,500
p,1990,Jesse Helms (R),NCS1,s,Joint Candidate Cmtes,5000
p,1990,Jesse Helms (R),NCS1,s,Labor,164
i,1990,Jesse Helms (R),NCS1,s,Labor,300
p,1990,Jesse Helms (R),NCS1,s,Lawyers & Lobbyists,3300
i,1990,Jesse Helms (R),NCS1,s,Lawyers & Lobbyists,83605
p,1990,Jesse Helms (R),NCS1,s,Misc Business,127965
i,1990,Jesse Helms (R),NCS1,s,Misc Business,222567
i,1990,Jesse Helms (R),NCS1,s,Non-contribution,37750
i,1990,Jesse Helms (R),NCS1,s,Other,200503
p,1990,Jesse Helms (R),NCS1,s,Party Cmte,521676
i,1990,Jesse Helms (R),NCS1,s,Party Cmte,12500
i,1990,Jesse Helms (R),NCS1,s,Transportation,34296
p,1990,Jesse Helms (R),NCS1,s,Transportation,53620
i,1990,Jesse Helms (R),NCS1,s,Unknown,1295021
p,1990,Jesse Helms (R),NCS1,s,Unknown,25438
p,1990,Jim Exon (D),NES2,s,Agribusiness,124401
i,1990,Jim Exon (D),NES2,s,Agribusiness,23595
i,1990,Jim Exon (D),NES2,s,Communic/Electronics,43600
p,1990,Jim Exon (D),NES2,s,Communic/Electronics,125977
